coords_xyz,name,ULS_v_x_max,ULS_v_y_max,ULS_m_xD+_max,ULS_m_xD-_max,ULS_m_yD+_max,ULS_m_yD-_max,ULS_Mx,ULS_My,SLS_kar_v_x_max,SLS_kar_v_y_max,SLS_kar_m_xD+_max,SLS_kar_m_xD-_max,SLS_kar_m_yD+_max,SLS_kar_m_yD-_max,SLS_kar_Mx,SLS_kar_My,SLS_freq_v_x_max,SLS_freq_v_y_max,SLS_freq_m_xD+_max,SLS_freq_m_xD-_max,SLS_freq_m_yD+_max,SLS_freq_m_yD-_max,SLS_freq_Mx,SLS_freq_My
"('3', '0.5', '0')",2-1,142373.89903229373,-34412.77563484528,0.0,279428.43818902376,-23046.603398187748,54172.13070201856,279428.43818902376,54172.13070201856,129430.81460112044,-31284.340808153152,0.0,254025.8476178252,-20951.45718060553,49247.39048012969,254025.8476178252,49247.39048012969,108306.9784090274,-24780.31023879236,0.0,213516.2849200788,-16034.940350558045,39969.37783657865,213516.2849200788,39969.37783657865
"('4', '0.5', '0')",2-1,-47660.45201429042,-39920.17196562444,0.0,325779.9365941575,-19373.266671926995,43470.29910210673,325779.9365941575,43470.29910210673,-43327.6827102527,-36291.064636707306,0.0,296163.57258902234,-17612.060229111597,39518.45288366618,296163.57258902234,39518.45288366618,-34662.151088697145,-28771.75780950232,0.0,249946.54668166256,-13068.34147812426,32678.797718831647,249946.54668166256,32678.797718831647
"('5', '0.5', '0')",2-1,-140828.1754364551,-34858.1921061579,0.0,275892.78134244133,-22863.420241284755,55912.38287848927,275892.78134244133,55912.38287848927,-128025.6113626332,-31689.264864206318,0.0,250811.61419059863,-20784.927041575887,50829.43787899491,250811.61419059863,50829.43787899491,-107182.66314207915,-25104.68234652179,0.0,210943.89911084512,-15893.930793585743,41235.40336325852,210943.89911084512,41235.40336325852
"('6', '0.5', '0')",2-1,-236863.22089524855,-19694.20758269607,-14473.991975527684,116345.62583999796,-58901.79754271568,44463.10372395372,116345.62583999796,44463.10372395372,-215330.1963532418,-17903.8246871233,-13158.17423801124,105768.7485264664,-53547.0875145942,40421.00250931084,105768.7485264664,40421.00250931084,-181742.1684724319,-14114.111216718777,-7669.22465062737,87321.13988176694,-42824.7557470788,31935.135436982964,87321.13988176694,31935.135436982964
"('7', '0.5', '0')",2-1,-326391.7149604578,30295.132026778258,-249627.65919197345,0.0,-80345.88352659682,0.0,249627.65919197345,0.0,-296719.73474617786,27541.02852234825,-226934.23091318872,0.0,-73041.71075929544,0.0,226934.23091318872,0.0,-251525.824158695,22185.64902740581,-190681.44807036096,0.0,-60375.25746001469,0.0,190681.44807036096,0.0
"('8', '0.5', '0')",2-1,-408327.6841413808,77749.25319676638,-577823.1950637703,0.0,-127666.04444920424,0.0,577823.1950637703,0.0,-371206.97793658817,70681.13774081992,-525293.8028730425,0.0,-116060.03800877435,0.0,525293.8028730425,0.0,-315776.6619045552,56819.299681551856,-446068.36042460817,0.0,-98126.44537385768,0.0,446068.36042460817,0.0
"('0', '-0.5', '0')",2-1,550527.3248092198,71039.51627157633,-621623.7389874393,0.0,-136251.59970722315,0.0,621623.7389874393,0.0,500479.3757418344,64581.3770289421,-565112.4783051366,0.0,-123865.08807502556,0.0,565112.4783051366,0.0,419188.84284298733,51389.21509552972,-477898.5276103583,0.0,-104353.18213029116,0.0,477898.5276103583,0.0
"('1', '-0.5', '0')",2-1,380558.83534515393,-41416.33833848053,-266894.24297980755,0.0,-89533.33069217038,0.0,266894.24297980755,0.0,345962.5703922387,-37651.21585924625,-242631.1249377768,0.0,-81393.93528645998,0.0,242631.1249377768,0.0,290917.2169349164,-30282.727036052293,-203630.4571513139,0.0,-67451.1142242064,0.0,203630.4571513139,0.0
"('2', '-0.5', '0')",2-1,275475.1287990838,-73514.58539795708,-28374.37824263904,157106.93150170817,-59570.72544241588,64220.82092204245,157106.93150170817,64220.82092204245,250431.9300504661,-66831.4398306094,-25794.888752400875,142824.48015571147,-54155.203794692,58382.56320917606,142824.48015571147,58382.56320917606,209822.62065456348,-53716.22912857228,-18173.20881728413,117419.32168920305,-43802.22024429747,46700.454139859066,117419.32168920305,46700.454139859066
"('3', '-0.5', '0')",2-1,172395.26640381134,-88597.3523061355,0.0,316534.77816098207,-13334.779786842266,88822.88438181704,316534.77816098207,88822.88438181704,156722.9661655039,-80543.04581529033,0.0,287758.88323447685,-12122.526816198822,80748.0749704271,287758.88323447685,80748.0749704271,130140.2494882386,-64727.55025470965,0.0,240849.0433547401,-8845.980570871321,65525.51789283796,240849.0433547401,65525.51789283796
"('4', '-0.5', '0')",2-1,-78552.41135328478,-94835.02636772611,0.0,360477.4674979797,-12597.14186515795,79448.96185547882,360477.4674979797,79448.96185547882,-71411.28150064289,-86213.6584762623,0.0,327706.7818179354,-11451.946901929325,72226.32740504689,327706.7818179354,72226.32740504689,-57128.97924581724,-69279.75189282841,0.0,275175.8059573265,-8146.046969722179,58848.63326833762,275175.8059573265,58848.63326833762
"('5', '-0.5', '0')",2-1,-174359.94934324722,-91067.5272984492,0.0,312810.1424029987,-13471.320322169428,90449.82492176208,312810.1424029987,90449.82492176208,-158509.04152627886,-82788.65939599408,0.0,284372.85080060933,-12246.654572896754,82227.11179286534,284372.85080060933,82227.11179286534,-131568.98375703153,-66524.11073717903,0.0,238139.76206766893,-8951.638585440467,66709.04457663998,238139.76206766893,66709.04457663998
