Kunstwerk nummer    ;Type;stadsdeel;Straat;KW naam;voorgespannen;Stichtingsjaar;Gebruik;Betonsterkteklasse;Staalkwaliteit wapening;Staalkwaliteit constructiestaal;Ontwerpbelasting;Originele berekening;Modificatie berekening;Herberekening;Vlag ARB;Basale toets GHPO;Opdrachtnemer IHA;Aantal velden;Statisch systeem (zoals aangehouden in berekening);kruisingshoek;Ldag;Lth;Constructiehoogte dek;Slankheid dek lth/h;bbrugdek;Breedte noord/oost;Breedte zuid/west;Opleggingen; Orthotropie / Isotropie;Liggers in plaat;Breedte rijwegen;Breedte trambaan;Breedte fietspad;Breedte voetpad noord/oost;Breedte voetpad zuid/west;Dikte schampkant;Randbelasting ;Steunpuntswapening (langsrichting) diameter;Steunpuntswapening (langsrichting) h.o.h.-afstand;Steunpuntswapening laag;Veldwapening (langsrichting) diameter;Veldwapening (langsrichting) h.o.h.-afstand;Veldwapening (langrichting) laag;Veldwapening (dwarsrichting) diameter;Veldwapening (dwarsrichting) h.o.h.-afstand;Veldwapening (dwarsrichting) laag;Dekking buitenkant wapening;Hoogte wand;Dikte wand;Betonkwaliteit dek;kwaliteit wapeningsstaal;Paalsysteem;paalstramien ;Conditie dek;Conditie palen;link naar DMS;Opmerkingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0673;Type 2;Nieuw-West;Postjesweg;Brug 673;nee;1967;Wegverkeer;;;-;;;;;oranje/groen;nvt;;2;stat. onbepaald;90;"8750;8750";"9400; 9400";465;"20;22; 20.22";33600;16800;16800;Oplegblokken;Orthotropie;Nee;16000;-;10300;3500;3500;100;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0675;Type 2;Nieuw-West;Christoffel Plantijngracht;Brug 675;nee;1964;Wegverkeer;;;-;;;;;puur oranje;;;3;stat. onbepaald;90;;"7200; 15000;7200";400-800;"18-9; 37.5-18.75; 18-9";7500;3750;3750;Lijn;Orthotropie;Nee;4350;-;-;-;2200;100;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0704;Type 1;Nieuw-West;Henk Sneevlietweg;Brug 704;nee;1978;Wegverkeer;B22.5;B400;-;;;;;oranje/groen;nvt;;1;stat.bepaald;90;8500;9000;550;16.36;26683-32936;13886-17982;12815-14954;Lijn;Orthotropie;Nee;21837-29029;-;-;1485-1429;1474-1407;100;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0719;Type 2;Nieuw-West;Cornelis Lelylaan;Brug 719;nee;1962;Wegverkeer;;;-;;;;;oranje/groen;nvt;;4;stat. onbepaald;90;"9850;12200;12200;9850";"12500;14500;14500;12500";690;"16.09; 20.72; 21.08; 16.01";52080;26040;26040;Oplegblokken;Orthotropie;Nee;29300;13000;-;3500;3500;80;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0751;Type 2;Nieuw-West;President Allendelaan;Brug 751;nee;1957;Wegverkeer;;;-;;;;;oranje/groen;nvt;;3;stat. onbepaald, mom.vast met onderbouw;90;;"10300; 9900;10300";400;"25.75; 24.75; 25.75";32200;16100;16100;Lijn;Orthotropie;Nee;12000;-;10400;450;450;100;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0752;Type 2;Nieuw-West;Ookmeerweg;Brug 752;nee;1960;Wegverkeer;;;-;;;;;oranje/groen;nvt;;3;stat. onbepaald;90;"6000; 8500;6000";"6650; 8950; 6650";460;"14.46; 19.46; 14.46";30000;14750;15250;Lijn;Orthotropie;Nee;12000;-;8500;4500;4500;160;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0755;Type 2;Nieuw-West;Hoekenses;Brug 755;nee;1961;Wegverkeer;;;-;;;;;oranje/groen;;;3;stat. onbepaald;90;;"8122; 12500; 8122";380;"21.37; 32.89; 21.37";19600;9800;9800;Oplegblokken;Orthotropie;Nee;10000;-;-;3500;3500;80;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0756;Type 2;Nieuw-West;Tussen Meer;Brug 756;nee;1962;Wegverkeer en tram;;;-;;;;;oranje/groen;nvt;;3;stat. onbepaald;90;"7150; 11000; 7150";"8122; 12500; 8122";590;"13.77; 21.19; 13.77";30400;15200;15200;Lijn;Orthotropie;Nee;14000;8400;-;4000;4000;80;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0757;Type 2;Nieuw-West;Osdorper Ban;Brug 757;nee;1962;Wegverkeer;;;-;;;;;oranje/groen;nvt;;3;stat. onbepaald;90;"5875;8250;5875";"6225;8950; 6225";400;"15.6; 22.4";24000;12000;12000;Lijn;Orthotropie;Nee;12000;-;-;6000;6000;80;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0761;Type 1 en type 3;Nieuw-West;Baden Powellweg;Brug 761;;1964;Wegverkeer;;;;;;;;oranje/groen;nvt;;3;stat. onbepaald, mom.vast met onderbouw;90;"4932.5; 15305; 4932.5";"6479.5; 16915; 6479.5";690;24.51;29200;14600;14600;Oplegblokken;Orthotropie;Ja;12000;-;6060;2970;2970;100;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
